0.045, -35.8525, 137.154, -0.252158, 1.32956, -5.57288, 29.5294, -35.8558, 137.161, 0.622108, 0.377678
0.046, -35.8527, 137.155, -0.257729, 1.35909, -5.57076, 29.5283, -35.8561, 137.162, 0.622101, 0.377656
0.047, -35.853, 137.157, -0.263297, 1.38861, -5.56859, 29.5271, -35.8563, 137.163, 0.622095, 0.377634
0.048, -35.8532, 137.158, -0.268864, 1.41814, -5.56637, 29.5259, -35.8566, 137.165, 0.622088, 0.377612
0.049, -35.8535, 137.159, -0.274428, 1.44767, -5.5641, 29.5247, -35.8569, 137.166, 0.622081, 0.377589
0.05, -35.8538, 137.161, -0.27999, 1.47719, -5.56179, 29.5235, -35.8572, 137.168, 0.622074, 0.377565
0.051, -35.8541, 137.162, -0.285549, 1.50671, -5.55943, 29.5223, -35.8574, 137.169, 0.622067, 0.377541
0.052, -35.8544, 137.164, -0.291106, 1.53623, -5.55702, 29.521, -35.8577, 137.171, 0.622059, 0.377517
0.053, -35.8546, 137.165, -0.296661, 1.56575, -5.55456, 29.5197, -35.858, 137.172, 0.622052, 0.377492
0.054, -35.8549, 137.167, -0.302213, 1.59527, -5.55206, 29.5183, -35.8583, 137.174, 0.622044, 0.377467
0.055, -35.8552, 137.169, -0.307762, 1.62479, -5.54951, 29.517, -35.8586, 137.176, 0.622036, 0.377441
0.056, -35.8556, 137.17, -0.313309, 1.6543, -5.54691, 29.5156, -35.8589, 137.177, 0.622028, 0.377414
0.057, -35.8559, 137.172, -0.318853, 1.68382, -5.54426, 29.5142, -35.8593, 137.179, 0.62202, 0.377388
0.058, -35.8562, 137.174, -0.324395, 1.71333, -5.54156, 29.5127, -35.8596, 137.181, 0.622012, 0.37736
0.059, -35.8565, 137.175, -0.329934, 1.74284, -5.53882, 29.5113, -35.8599, 137.182, 0.622004, 0.377333
0.06, -35.8568, 137.177, -0.33547, 1.77235, -5.53603, 29.5098, -35.8603, 137.184, 0.621995, 0.377304
0.061, -35.8572, 137.179, -0.341003, 1.80186, -5.53319, 29.5083, -35.8606, 137.186, 0.621986, 0.377276
0.062, -35.8575, 137.181, -0.346533, 1.83137, -5.5303, 29.5067, -35.8609, 137.188, 0.621978, 0.377247
0.063, -35.8579, 137.182, -0.352061, 1.86087, -5.52737, 29.5052, -35.8613, 137.19, 0.621969, 0.377217
0.064, -35.8582, 137.184, -0.357585, 1.89037, -5.52438, 29.5036, -35.8617, 137.191, 0.62196, 0.377187
0.065, -35.8586, 137.186, -0.363106, 1.91988, -5.52135, 29.502, -35.862, 137.193, 0.62195, 0.377156
0.066, -35.8589, 137.188, -0.368625, 1.94938, -5.51827, 29.5003, -35.8624, 137.195, 0.621941, 0.377125
0.067, -35.8593, 137.19, -0.37414, 1.97888, -5.51514, 29.4987, -35.8628, 137.197, 0.621931, 0.377093
0.068, -35.8597, 137.192, -0.379652, 2.00837, -5.51197, 29.497, -35.8631, 137.199, 0.621922, 0.377061
0.069, -35.8601, 137.194, -0.38516, 2.03787, -5.50875, 29.4953, -35.8635, 137.201, 0.621912, 0.377029
0.07, -35.8604, 137.196, -0.390666, 2.06736, -5.50547, 29.4935, -35.8639, 137.203, 0.621902, 0.376996
0.071, -35.8608, 137.198, -0.396168, 2.09685, -5.50215, 29.4918, -35.8643, 137.206, 0.621892, 0.376962
0.072, -35.8612, 137.2, -0.401667, 2.12634, -5.49879, 29.49, -35.8647, 137.208, 0.621881, 0.376928
0.073, -35.8616, 137.202, -0.407162, 2.15583, -5.49537, 29.4881, -35.8651, 137.21, 0.621871, 0.376894
0.074, -35.862, 137.204, -0.412654, 2.18532, -5.4919, 29.4863, -35.8655, 137.212, 0.62186, 0.376859
0.075, -35.8624, 137.207, -0.418143, 2.2148, -5.48839, 29.4844, -35.866, 137.214, 0.62185, 0.376823
0.076, -35.8629, 137.209, -0.423627, 2.24428, -5.48483, 29.4825, -35.8664, 137.216, 0.621839, 0.376788
