0.072, -12.2744, 126.164, 2.03932, -2.80079, 28.29, -38.9185
0.073, -12.2723, 126.161, 2.0676, -2.83971, 28.2885, -38.9193
0.074, -12.2703, 126.158, 2.09589, -2.87863, 28.2871, -38.9201
0.075, -12.2681, 126.155, 2.12418, -2.91755, 28.2856, -38.9209
0.076, -12.266, 126.152, 2.15246, -2.95647, 28.2841, -38.9218
0.077, -12.2638, 126.149, 2.18074, -2.9954, 28.2826, -38.9226
0.078, -12.2616, 126.146, 2.20902, -3.03432, 28.2811, -38.9235
0.079, -12.2594, 126.143, 2.2373, -3.07324, 28.2795, -38.9243
0.08, -12.2572, 126.14, 2.26558, -3.11217, 28.278, -38.9252
0.081, -12.2549, 126.137, 2.29386, -3.15109, 28.2764, -38.9261
0.082, -12.2526, 126.134, 2.32213, -3.19002, 28.2748, -38.927
0.083, -12.2502, 126.131, 2.35041, -3.22895, 28.2732, -38.9279
0.084, -12.2479, 126.127, 2.37868, -3.26788, 28.2715, -38.9288
0.085, -12.2455, 126.124, 2.40695, -3.30681, 28.2699, -38.9298
0.086, -12.2431, 126.121, 2.43522, -3.34574, 28.2682, -38.9307
0.087, -12.2406, 126.117, 2.46348, -3.38467, 28.2665, -38.9317
0.088, -12.2381, 126.114, 2.49175, -3.4236, 28.2648, -38.9326
0.089, -12.2356, 126.111, 2.52001, -3.46254, 28.263, -38.9336
0.09, -12.2331, 126.107, 2.54827, -3.50147, 28.2613, -38.9346
0.091, -12.2305, 126.104, 2.57653, -3.54041, 28.2595, -38.9356
0.092, -12.2279, 126.1, 2.60479, -3.57934, 28.2577, -38.9366
0.093, -12.2253, 126.096, 2.63304, -3.61828, 28.2559, -38.9377
0.094, -12.2227, 126.093, 2.6613, -3.65722, 28.2541, -38.9387
0.095, -12.22, 126.089, 2.68955, -3.69616, 28.2522, -38.9398
0.096, -12.2173, 126.085, 2.7178, -3.7351, 28.2504, -38.9408
0.097, -12.2146, 126.082, 2.74605, -3.77404, 28.2485, -38.9419
0.098, -12.2118, 126.078, 2.7743, -3.81298, 28.2466, -38.943
0.099, -12.209, 126.074, 2.80254, -3.85193, 28.2447, -38.9441
0.1, -12.2062, 126.07, 2.83078, -3.89087, 28.2427, -38.9452
0.101, -12.2034, 126.066, 2.85902, -3.92982, 28.2408, -38.9463
0.102, -12.2005, 126.062, 2.88726, -3.96877, 28.2388, -38.9475
0.103, -12.1976, 126.058, 2.9155, -4.00772, 28.2368, -38.9486
0.104, -12.1947, 126.054, 2.94374, -4.04667, 28.2348, -38.9498
0.105, -12.1917, 126.05, 2.97197, -4.08562, 28.2327, -38.9509
0.106, -12.1887, 126.046, 3.0002, -4.12457, 28.2307, -38.9521
0.107, -12.1857, 126.042, 3.02843, -4.16352, 28.2286, -38.9533
0.108, -12.1827, 126.038, 3.05665, -4.20248, 28.2265, -38.9545
0.109, -12.1796, 126.034, 3.08488, -4.24143, 28.2244, -38.9557
0.11, -12.1765, 126.029, 3.1131, -4.28039, 28.2223, -38.957
